drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason
19078924,708298,NA,NA,1,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
19079524,967823,NA,NA,9,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
35605482,1000560,NA,NA,4,8576,2,8587,NA,1970-01-01,2099-12-31,NA
35605858,1110410,NA,NA,5,8576,1,8587,NA,1970-01-01,2099-12-31,NA
40162522,1125315,325,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
40162522,1174888,7.5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
40163554,1310149,5,8576,NA,NA,NA,NA,NA,2009-08-02,2099-12-31,NA
40173590,1557272,10,8576,NA,NA,NA,NA,NA,2010-04-04,2099-12-31,NA
40236824,933724,100,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
43012036,1192710,4,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
43012433,1519936,NA,NA,2.52,8576,504,8505,NA,1970-01-01,2099-12-31,NA
43012433,1549786,NA,NA,0.315,8576,504,8505,NA,1970-01-01,2099-12-31,NA
44816277,1518198,NA,NA,1.05,8576,168,8505,NA,1970-01-01,2099-12-31,NA
44816277,1549786,NA,NA,0.24528,8576,168,8505,NA,1970-01-01,2099-12-31,NA
45892894,715997,NA,NA,10,8576,24,8505,NA,2010-08-01,2099-12-31,NA
45892894,701322,NA,NA,28,8576,24,8505,NA,1970-01-01,2099-12-31,NA
46233988,1738521,50,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
46275444,1741122,500,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
46275444,1746114,4000,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19023398,19039298,NA,NA,1000,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
19057271,791967,NA,NA,2,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
19059056,1112807,81,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19059528,19059528,NA,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19126352,1361711,NA,NA,0.4,8576,NA,45744809,NA,1970-01-01,2099-12-31,NA
19132304,1589505,NA,NA,8.33e-4,8576,NA,8505,NA,1970-01-01,2099-12-31,NA
19133768,1125315,750,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19133768,1174888,7.5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19133873,1729720,250,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
40169216,1149380,NA,NA,5.28,8576,120,45744809,NA,1970-01-01,2099-12-31,NA
40169281,1137529,NA,NA,3,8576,60,45744809,NA,1970-01-01,2099-12-31,NA
40169281,1149380,NA,NA,15,8576,60,45744809,NA,1970-01-01,2099-12-31,NA
40220386,753626,NA,NA,1000,8576,100,8587,NA,1970-01-01,2099-12-31,NA
40220960,1347450,100,8576,NA,NA,NA,NA,NA,2016-10-03,2099-12-31,NA
40228214,1149196,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
40229134,1125315,NA,NA,21.7,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
40229134,1119510,NA,NA,1,8576,NA,8587,NA,2010-07-04,2099-12-31,NA
40229134,738818,NA,NA,0.417,8576,NA,8587,NA,2010-12-05,2099-12-31,NA
